"Year","Period.Desc.","Trade.Flow","Reporter","Commodity.Code","Netweight..kg.","Trade.Value..US..","Countries"
2017,"April 2017","Exports","United States of America",301,795,10138,"USA"
2017,"June 2017","Exports","United States of America",301,621,7922,"USA"
2017,"October 2017","Exports","United States of America",301,431,5499,"USA"
2017,"December 2017","Exports","United States of America",301,608,7745,"USA"
2018,"February 2018","Exports","United States of America",301,583,6359,"USA"
2018,"December 2018","Exports","United States of America",301,555,10716,"USA"
2018,"August 2018","Exports","United States of America",301,411,4485,"USA"
2018,"October 2018","Exports","United States of America",301,561,6121,"USA"
2018,"March 2018","Exports","United States of America",301,591,6447,"USA"
2018,"June 2018","Exports","United States of America",301,345,3757,"USA"
2019,"March 2019","Exports","United States of America",301,834,6304,"USA"
2019,"June 2019","Exports","United States of America",301,837,8947,"USA"
2019,"September 2019","Exports","United States of America",301,1096,13986,"USA"
2020,"January 2020","Exports","United States of America",301,450,5174,"USA"
2010,"March 2010","Exports","United States of America",302,3967,37231,"USA"
2016,"November 2016","Exports","United States of America",302,1242,8495,"USA"
2016,"December 2016","Imports","United States of America",302,2800,9001,"USA"
2017,"August 2017","Exports","United States of America",302,3480,5394,"USA"
2017,"November 2017","Exports","United States of America",302,0,14158,"USA"
2017,"November 2017","Re-exports","United States of America",302,0,14158,"USA"
2018,"April 2018","Imports","United States of America",302,581,2235,"USA"
2010,"March 2010","Exports","United States of America",303,254934,689870,"USA"
2010,"March 2010","Imports","United States of America",303,106724,536318,"USA"
2016,"December 2016","Imports","United States of America",303,722917,4581711,"USA"
2016,"May 2016","Exports","United States of America",303,2264,2827,"USA"
2016,"July 2016","Exports","United States of America",303,2555,3240,"USA"
2016,"July 2016","Imports","United States of America",303,45890,49354,"USA"
2016,"November 2016","Exports","United States of America",303,3924,8650,"USA"
2016,"April 2016","Imports","United States of America",303,153249,1712137,"USA"
2016,"March 2016","Imports","United States of America",303,188484,566020,"USA"
2016,"January 2016","Imports","United States of America",303,340598,2254124,"USA"
2016,"June 2016","Imports","United States of America",303,10084,17176,"USA"
2016,"November 2016","Imports","United States of America",303,485748,3420612,"USA"
2016,"October 2016","Exports","United States of America",303,20030,44189,"USA"
2016,"August 2016","Exports","United States of America",303,6462,8160,"USA"
2016,"October 2016","Imports","United States of America",303,272999,1930473,"USA"
2016,"May 2016","Imports","United States of America",303,89926,519886,"USA"
2016,"September 2016","Imports","United States of America",303,14494,60060,"USA"
2017,"August 2017","Imports","United States of America",303,146633,553934,"USA"
2017,"October 2017","Imports","United States of America",303,424788,2369902,"USA"
2017,"January 2017","Imports","United States of America",303,695241,4242487,"USA"
2017,"November 2017","Exports","United States of America",303,2120,2616,"USA"
2017,"September 2017","Imports","United States of America",303,253842,1254122,"USA"
2017,"June 2017","Imports","United States of America",303,211919,441102,"USA"
2017,"May 2017","Imports","United States of America",303,176275,399962,"USA"
2017,"March 2017","Imports","United States of America",303,103668,232405,"USA"
2017,"November 2017","Imports","United States of America",303,211798,1562123,"USA"
2017,"April 2017","Imports","United States of America",303,235132,1202189,"USA"
2017,"December 2017","Imports","United States of America",303,336056,2019189,"USA"
2017,"February 2017","Imports","United States of America",303,422146,3125296,"USA"
